dzielnica,typ_szkoly,nazwa_szkoly,nazwa_oddzialu,rozszerzenia,jezyki,prog_min,ranking25,srednia22do24
Mokotów,T,Technikum Odzieżowe i Fryzjerskie im. M. Bratkowskiej,1TMA [O] Technik przemysłu mody (ang*-hisz*),Technik przemysłu mody,ang-hisz,77.00,,
Mokotów,T,Technikum Odzieżowe i Fryzjerskie im. M. Bratkowskiej,1TFD [O] Technik usług fryzjerskich (ang*-niem*),Technik usług fryzjerskich,ang-niem,62.80,,
Mokotów,T,Technikum Odzieżowe i Fryzjerskie im. M. Bratkowskiej,1TFEi1 [I-o] Technik usług fryzjerskich (ang*-niem*),Technik usług fryzjerskich,ang-niem,35.85,,
Mokotów,T,Technikum Odzieżowe i Fryzjerskie im. M. Bratkowskiej,1TSA+TSB [O] Technik stylista (ang*-niem*),Technik stylista,ang-niem,50.35,,
Mokotów,T,Technikum Odzieżowe i Fryzjerskie im. M. Bratkowskiej,1TMB [O] Technik przemysłu mody (ang*-niem*),Technik przemysłu mody,ang-niem,49.75,,
Mokotów,T,Technikum Ogrodnicze,1ATAK [O] Technik architektury krajobrazu (ang-niem*),Technik architektury krajobrazu,ang-niem,44.15,,
Mokotów,T,Technikum Ogrodnicze,1ATO [O] Technik ogrodnik (ang-niem*),Technik ogrodnik,ang-niem,27.55,,
Mokotów,T,Technikum Ogrodnicze,1BTO [O] Technik ogrodnik (ang-niem*),Technik ogrodnik,ang-niem,45.00,,
Mokotów,T,Technikum Ogrodnicze,1TW [O] Technik weterynarii (ang-niem*),Technik weterynarii,ang-niem,79.85,,
Mokotów,T,Technikum Ogrodnicze,1BTAK [O] Technik architektury krajobrazu (ang-niem*),Technik architektury krajobrazu,ang-niem,23.20,,
Mokotów,LO,VI LO im. T. Reytana,1/2 [O] biol-chem-mat (ang-niem),biol-chem-mat,ang-niem,162.65,22,18.0
Mokotów,LO,VI LO im. T. Reytana,1/1 [O] fiz-ang-mat (ang-niem),ang-fiz-mat,ang-niem,164.90,22,18.0
Mokotów,LO,VI LO im. T. Reytana,1/4 [O] biz-ang-mat (ang-hisz),ang-biz-mat,ang-hisz,165.95,22,18.0
Mokotów,LO,VI LO im. T. Reytana,1/3 [O] biol-chem-ang (ang-niem),ang-biol-chem,ang-niem,163.30,22,18.0
Mokotów,LO,X LO im. Królowej Jadwigi,1CR [O] biz-geogr-mat (ang-ros),biz-geogr-mat,ang-ros,149.40,47,44.33
Mokotów,LO,X LO im. Królowej Jadwigi,1BH [O] biol-inf-mat (ang-hisz),biol-inf-mat,ang-hisz,159.30,47,44.33
Mokotów,LO,X LO im. Królowej Jadwigi,1BN [O] biol-inf-mat (ang-niem),biol-inf-mat,ang-niem,151.20,47,44.33
Mokotów,LO,X LO im. Królowej Jadwigi,1AF [O] hist-pol-wos (ang-fra),hist-pol-wos,ang-fra,142.00,47,44.33
Mokotów,LO,X LO im. Królowej Jadwigi,1AH [O] hist-pol-wos (ang-hisz),hist-pol-wos,ang-hisz,149.05,47,44.33
